legacy_import,canonical_package,canonical_import,status,phase
drift.engine,drift-engine,drift_engine,migrated,1
drift.engine.adr_scanner,drift-engine,drift_engine.adr_scanner,migrated,1
drift.engine.analyzer,drift-engine,drift_engine.analyzer,migrated,1
drift.engine.baseline,drift-engine,drift_engine.baseline,migrated,1
drift.engine.cache,drift-engine,drift_engine.cache,migrated,1
drift.engine.ci_detect,drift-engine,drift_engine.ci_detect,migrated,1
drift.engine.context_tags,drift-engine,drift_engine.context_tags,migrated,1
drift.engine.embeddings,drift-engine,drift_engine.embeddings,migrated,1
drift.engine.fix_intent,drift-engine,drift_engine.fix_intent,migrated,1
drift.engine.fix_plan_dismissals,drift-engine,drift_engine.fix_plan_dismissals,migrated,1
drift.engine.guardrails,drift-engine,drift_engine.guardrails,migrated,1
drift.engine.incremental,drift-engine,drift_engine.incremental,migrated,1
drift.engine.pipeline,drift-engine,drift_engine.pipeline,migrated,1
drift.engine.plugins,drift-engine,drift_engine.plugins,migrated,1
drift.engine.policy_compiler,drift-engine,drift_engine.policy_compiler,migrated,1
drift.engine.precision,drift-engine,drift_engine.precision,migrated,1
drift.engine.preflight,drift-engine,drift_engine.preflight,migrated,1
drift.engine.profiles,drift-engine,drift_engine.profiles,migrated,1
drift.engine.repair_template_registry,drift-engine,drift_engine.repair_template_registry,migrated,1
drift.engine.response_shaping,drift-engine,drift_engine.response_shaping,migrated,1
drift.engine.signal_mapping,drift-engine,drift_engine.signal_mapping,migrated,1
drift.engine.signal_registry,drift-engine,drift_engine.signal_registry,migrated,1
drift.engine.suppression,drift-engine,drift_engine.suppression,migrated,1
drift.engine.telemetry,drift-engine,drift_engine.telemetry,migrated,1
drift.engine.trend_history,drift-engine,drift_engine.trend_history,migrated,1
drift.engine.arch_graph._decisions,drift-engine,drift_engine.arch_graph._decisions,migrated,1
drift.engine.arch_graph._feedback,drift-engine,drift_engine.arch_graph._feedback,migrated,1
drift.engine.arch_graph._models,drift-engine,drift_engine.arch_graph._models,migrated,1
drift.engine.arch_graph._persistence,drift-engine,drift_engine.arch_graph._persistence,migrated,1
drift.engine.arch_graph._reuse_index,drift-engine,drift_engine.arch_graph._reuse_index,migrated,1
drift.engine.arch_graph._seeding,drift-engine,drift_engine.arch_graph._seeding,migrated,1
drift.engine.arch_graph._skill_generator,drift-engine,drift_engine.arch_graph._skill_generator,migrated,1
drift.engine.arch_graph._skill_writer,drift-engine,drift_engine.arch_graph._skill_writer,migrated,1
drift.engine.blast_radius._adr_analyzer,drift-engine,drift_engine.blast_radius._adr_analyzer,migrated,1
drift.engine.blast_radius._adr_frontmatter,drift-engine,drift_engine.blast_radius._adr_frontmatter,migrated,1
drift.engine.blast_radius._arch_analyzer,drift-engine,drift_engine.blast_radius._arch_analyzer,migrated,1
drift.engine.blast_radius._change_detector,drift-engine,drift_engine.blast_radius._change_detector,migrated,1
drift.engine.blast_radius._glob,drift-engine,drift_engine.blast_radius._glob,migrated,1
drift.engine.blast_radius._models,drift-engine,drift_engine.blast_radius._models,migrated,1
drift.engine.blast_radius._persistence,drift-engine,drift_engine.blast_radius._persistence,migrated,1
drift.engine.blast_radius._policy_analyzer,drift-engine,drift_engine.blast_radius._policy_analyzer,migrated,1
drift.engine.blast_radius._skill_analyzer,drift-engine,drift_engine.blast_radius._skill_analyzer,migrated,1
drift.engine.blast_radius.engine,drift-engine,drift_engine.blast_radius.engine,migrated,1
drift.engine.calibration._atomic_io,drift-engine,drift_engine.calibration._atomic_io,migrated,1
drift.engine.calibration.feedback,drift-engine,drift_engine.calibration.feedback,migrated,1
